date,index,division,division_name
1980-01-01,40.2,overall,Overall
1980-02-01,40.4,overall,Overall
1980-03-01,40.4,overall,Overall
1980-04-01,40.2,overall,Overall
1980-05-01,40.6,overall,Overall
1980-06-01,41.0,overall,Overall
1980-07-01,41.3,overall,Overall
1980-08-01,41.7,overall,Overall
1980-09-01,41.6,overall,Overall
1980-10-01,41.8,overall,Overall
1980-11-01,42.4,overall,Overall
1980-12-01,42.7,overall,Overall
1981-01-01,43.5,overall,Overall
1981-02-01,44.0,overall,Overall
1981-03-01,44.4,overall,Overall
1981-04-01,44.6,overall,Overall
1981-05-01,44.8,overall,Overall
1981-06-01,45.1,overall,Overall
1981-07-01,45.5,overall,Overall
1981-08-01,45.8,overall,Overall
1981-09-01,46.0,overall,Overall
1981-10-01,46.0,overall,Overall
1981-11-01,46.1,overall,Overall
1981-12-01,46.3,overall,Overall
1982-01-01,46.8,overall,Overall
1982-02-01,47.1,overall,Overall
1982-03-01,47.2,overall,Overall
1982-04-01,47.4,overall,Overall
1982-05-01,47.5,overall,Overall
1982-06-01,47.7,overall,Overall
1982-07-01,48.0,overall,Overall
1982-08-01,48.1,overall,Overall
1982-09-01,48.1,overall,Overall
1982-10-01,48.0,overall,Overall
1982-11-01,48.5,overall,Overall
1982-12-01,48.7,overall,Overall
1983-01-01,49.2,overall,Overall
1983-02-01,49.0,overall,Overall
1983-03-01,49.1,overall,Overall
1983-04-01,49.1,overall,Overall
1983-05-01,49.4,overall,Overall
1983-06-01,49.5,overall,Overall
1983-07-01,49.6,overall,Overall
1983-08-01,49.6,overall,Overall
1983-09-01,49.8,overall,Overall
1983-10-01,49.9,overall,Overall
1983-11-01,50.0,overall,Overall
1983-12-01,50.3,overall,Overall
1984-01-01,51.2,overall,Overall
1984-02-01,51.8,overall,Overall
1984-03-01,51.1,overall,Overall
1984-04-01,51.1,overall,Overall
1984-05-01,51.1,overall,Overall
1984-06-01,51.1,overall,Overall
1984-07-01,51.5,overall,Overall
1984-08-01,51.5,overall,Overall
1984-09-01,51.5,overall,Overall
1984-10-01,51.4,overall,Overall
1984-11-01,51.1,overall,Overall
1984-12-01,51.1,overall,Overall
1985-01-01,51.2,overall,Overall
1985-02-01,51.3,overall,Overall
1985-03-01,51.5,overall,Overall
1985-04-01,51.3,overall,Overall
1985-05-01,51.4,overall,Overall
1985-06-01,51.5,overall,Overall
1985-07-01,51.8,overall,Overall
1985-08-01,51.9,overall,Overall
1985-09-01,51.6,overall,Overall
1985-10-01,51.5,overall,Overall
1985-11-01,51.5,overall,Overall
1985-12-01,51.6,overall,Overall
1986-01-01,51.8,overall,Overall
1986-02-01,51.9,overall,Overall
1986-03-01,51.8,overall,Overall
1986-04-01,51.5,overall,Overall
1986-05-01,51.7,overall,Overall
1986-06-01,51.6,overall,Overall
1986-07-01,51.7,overall,Overall
1986-08-01,51.6,overall,Overall
1986-09-01,51.8,overall,Overall
1986-10-01,51.8,overall,Overall
1986-11-01,52.1,overall,Overall
1986-12-01,52.2,overall,Overall
1987-01-01,52.1,overall,Overall
1987-02-01,52.1,overall,Overall
1987-03-01,51.8,overall,Overall
1987-04-01,52.1,overall,Overall
1987-05-01,52.2,overall,Overall
1987-06-01,52.3,overall,Overall
1987-07-01,52.2,overall,Overall
1987-08-01,52.3,overall,Overall
1987-09-01,52.3,overall,Overall
1987-10-01,52.4,overall,Overall
1987-11-01,52.5,overall,Overall
1987-12-01,52.7,overall,Overall
1988-01-01,52.8,overall,Overall
1988-02-01,52.9,overall,Overall
1988-03-01,53.0,overall,Overall
1988-04-01,53.0,overall,Overall
1988-05-01,53.0,overall,Overall
1988-06-01,53.5,overall,Overall
1988-07-01,53.8,overall,Overall
1988-08-01,53.9,overall,Overall
1988-09-01,54.0,overall,Overall
1988-10-01,53.9,overall,Overall
1988-11-01,54.2,overall,Overall
1988-12-01,54.6,overall,Overall
1989-01-01,54.6,overall,Overall
1989-02-01,54.6,overall,Overall
1989-03-01,54.6,overall,Overall
1989-04-01,54.7,overall,Overall
1989-05-01,54.9,overall,Overall
1989-06-01,54.9,overall,Overall
1989-07-01,55.1,overall,Overall
1989-08-01,55.2,overall,Overall
1989-09-01,55.4,overall,Overall
1989-10-01,55.4,overall,Overall
1989-11-01,55.6,overall,Overall
1989-12-01,55.7,overall,Overall
1990-01-01,56.1,overall,Overall
1990-02-01,56.4,overall,Overall
1990-03-01,56.3,overall,Overall
1990-04-01,56.5,overall,Overall
1990-05-01,56.8,overall,Overall
1990-06-01,56.7,overall,Overall
1990-07-01,56.5,overall,Overall
1990-08-01,56.5,overall,Overall
1990-09-01,56.8,overall,Overall
1990-10-01,57.2,overall,Overall
1990-11-01,57.5,overall,Overall
1990-12-01,57.8,overall,Overall
1991-01-01,58.1,overall,Overall
1991-02-01,58.3,overall,Overall
1991-03-01,58.4,overall,Overall
1991-04-01,58.9,overall,Overall
1991-05-01,59.1,overall,Overall
1991-06-01,59.6,overall,Overall
1991-07-01,59.3,overall,Overall
1991-08-01,59.5,overall,Overall
1991-09-01,59.4,overall,Overall
1991-10-01,59.6,overall,Overall
1991-11-01,59.9,overall,Overall
1991-12-01,60.4,overall,Overall
1992-01-01,60.6,overall,Overall
1992-02-01,60.9,overall,Overall
