date,ron95,ron97,diesel,ron95_skps,diesel_budi,diesel_skds,ron95_budi95,diesel_eastmsia,month,cpi_index,usd,sgd,eur,gbp,jpy,new_opr_level
2017-03-30,2.13,2.41,2.11,,,,,2.11,2017-03-01,119.4,4.438695652173913,3.1575565217391306,4.743017391304348,5.476430434782609,0.039286173913043475,3.0
2017-04-06,2.16,2.43,2.08,,,,,2.08,2017-04-01,119.2,4.408026315789473,3.152436842105263,4.718531578947369,5.559342105263158,0.04004868421052631,3.0
2017-04-13,2.24,2.52,2.16,,,,,2.16,2017-04-01,119.2,4.408026315789473,3.152436842105263,4.718531578947369,5.559342105263158,0.04004868421052631,3.0
2017-04-20,2.27,2.54,2.21,,,,,2.21,2017-04-01,119.2,4.408026315789473,3.152436842105263,4.718531578947369,5.559342105263158,0.04004868421052631,3.0
2017-04-27,2.21,2.49,2.14,,,,,2.14,2017-04-01,119.2,4.408026315789473,3.152436842105263,4.718531578947369,5.559342105263158,0.04004868421052631,3.0
2017-05-04,2.11,2.39,2.08,,,,,2.08,2017-05-01,119.0,4.314285714285714,3.093090476190476,4.768828571428571,5.572961904761905,0.03844519047619047,3.0
2017-05-11,2.01,2.29,1.95,,,,,1.95,2017-05-01,119.0,4.314285714285714,3.093090476190476,4.768828571428571,5.572961904761905,0.03844519047619047,3.0
2017-05-18,2.08,2.36,1.99,,,,,1.99,2017-05-01,119.0,4.314285714285714,3.093090476190476,4.768828571428571,5.572961904761905,0.03844519047619047,3.0
2017-05-25,2.12,2.4,2.03,,,,,2.03,2017-05-01,119.0,4.314285714285714,3.093090476190476,4.768828571428571,5.572961904761905,0.03844519047619047,3.0
2017-06-01,2.1,2.38,2.02,,,,,2.02,2017-06-01,118.7,4.276710526315789,3.090663157894737,4.8037052631578945,5.4773000000000005,0.03857573684210527,3.0
2017-06-08,2.05,2.31,1.94,,,,,1.94,2017-06-01,118.7,4.276710526315789,3.090663157894737,4.8037052631578945,5.4773000000000005,0.03857573684210527,3.0
2017-06-15,1.98,2.24,1.88,,,,,1.88,2017-06-01,118.7,4.276710526315789,3.090663157894737,4.8037052631578945,5.4773000000000005,0.03857573684210527,3.0
2017-06-22,1.91,2.17,1.88,,,,,1.88,2017-06-01,118.7,4.276710526315789,3.090663157894737,4.8037052631578945,5.4773000000000005,0.03857573684210527,3.0
2017-06-29,1.89,2.15,1.84,,,,,1.84,2017-06-01,118.7,4.276710526315789,3.090663157894737,4.8037052631578945,5.4773000000000005,0.03857573684210527,3.0
2017-07-06,1.93,2.19,1.91,,,,,1.91,2017-07-01,118.7,4.288928571428571,3.1270285714285713,4.937376190476191,5.5717,0.03815595238095238,3.0
2017-07-13,1.97,2.22,1.96,,,,,1.96,2017-07-01,118.7,4.288928571428571,3.1270285714285713,4.937376190476191,5.5717,0.03815595238095238,3.0
2017-07-20,1.97,2.22,1.96,,,,,1.96,2017-07-01,118.7,4.288928571428571,3.1270285714285713,4.937376190476191,5.5717,0.03815595238095238,3.0
2017-07-27,2.03,2.28,1.99,,,,,1.99,2017-07-01,118.7,4.288928571428571,3.1270285714285713,4.937376190476191,5.5717,0.03815595238095238,3.0
