aed,aud,bnd,cad,chf,cny,egp,eur,gbp,hkd,idr,inr,jpy,khr,krw,mmk,npr,nzd,php,pkr,sar,sgd,thb,twd,usd,vnd,xdr,date
,,,,2.8241,,,4.2662,6.1162,0.487234,,,0.032023,,,,,,,,,2.1478,,,3.8,,,2003-05-02
,,,,2.8241,,,4.2626,6.0938,0.487234,,,0.031945,,,,,,,,,2.151,,,3.8,,,2003-05-05
,,,,2.8297,,,4.2863,6.105,0.487234,,,0.032053,,,,,,,,,2.1668,,,3.8,,,2003-05-06
,,,,2.8653,,,4.3365,6.1312,0.487234,,,0.032301,,,,,,,,,2.1863,,,3.8,,,2003-05-07
,,,,2.8711,,,4.3141,6.068,0.487234,,,0.032591,,,,,,,,,2.1872,,,3.8,,,2003-05-08
,,,,2.9002,,,4.3783,6.0976,0.487234,,,0.032416,,,,,,,,,2.1815,,,3.8,,,2003-05-09
,,,,2.9078,,,4.3917,6.0976,0.487234,,,0.032486,,,,,,,,,2.1901,,,3.8,,,2003-05-12
,,,,2.8835,,,4.363,6.1087,0.487258,,,0.032358,,,,,,,,,2.1896,,,3.8,,,2003-05-13
,,,,2.8736,,,4.3309,6.1614,0.487234,,,0.032633,,,,,,,,,2.2109,,,3.8,,,2003-05-16
,,,,2.9326,,,4.4405,6.192,0.487234,,,0.032873,,,,,,,,,2.2099,,,3.8,,,2003-05-19
,,,,2.9274,,,4.4248,6.1996,0.487258,,,0.032461,,,,,,,,,2.2012,,,3.8,,,2003-05-20
,,,,2.9464,,,4.4543,6.2344,0.487234,,,0.032577,,,,,,,,,2.2046,,,3.8,,,2003-05-21
,,,,2.9274,,,4.4248,6.215,0.487234,,,0.032342,,,,,,,,,2.1988,,,3.8,,,2003-05-22
,,,,2.9274,,,4.4346,6.2035,0.487258,,,0.03238,,,,,,,,,2.2085,,,3.8,,,2003-05-23
,,,,2.9429,,,4.4883,6.2267,0.487258,,,0.032513,,,,,,,,,2.2119,,,3.8,,,2003-05-26
,,,,2.9603,,,4.5208,6.2383,0.487258,,,0.032583,,,,,,,,,2.2114,,,3.8,,,2003-05-27
,,,,2.9507,,,4.4903,6.2267,0.487258,,,0.032414,,,,,,,,,2.2002,,,3.8,,,2003-05-28
,,,,2.9326,,,4.4703,6.2228,0.487282,,,0.032063,,,,,,,,,2.1911,,,3.8,,,2003-05-29
,,,,2.9577,,,4.5188,6.2814,0.487282,,,0.032129,,,,,,,,,2.1993,,,3.8,,,2003-05-30
,,,,2.9121,,,4.4504,6.1881,0.487282,,,0.031866,,,,,,,,,2.1925,,,3.8,,,2003-06-02
,,,,2.9189,,,4.4643,6.2189,0.487258,,,0.032074,,,,,,,,,2.1997,,,3.8,,,2003-06-03
,,,,2.896,,,4.4543,6.192,0.487258,,,0.031848,,,,,,,,,2.2007,,,3.8,,,2003-06-04
,,,,2.8835,,,4.4228,6.192,0.487258,,,0.032053,,,,,,,,,2.2031,,,3.8,,,2003-06-05
,,,,2.9189,,,4.5025,6.3131,0.487258,,,0.032265,,,,,,,,,2.2109,,,3.8,,,2003-06-06
,,,,2.876,,,4.4366,6.3012,0.487258,,,0.032059,,,,,,,,,2.2012,,,3.8,,,2003-06-09
,,,,2.8877,,,4.4524,6.2461,0.487282,,,0.032167,,,,,,,,,2.2031,,,3.8,,,2003-06-10
,,,,2.891,,,4.4366,6.2775,0.487258,,,0.032268,,,,,,,,,2.1915,,,3.8,,,2003-06-11
,,,,2.9019,,,4.4623,6.3291,0.487258,,,0.032218,,,,,,,,,2.1834,,,3.8,,,2003-06-12
,,,,2.8994,,,4.4703,6.3492,0.487234,,,0.032279,,,,,,,,,2.1848,,,3.8,,,2003-06-13
,,,,2.9274,,,4.5188,6.3694,0.487234,,,0.032391,,,,,,,,,2.1983,,,3.8,,,2003-06-16
,,,,2.9129,,,4.4964,6.3898,0.487234,,,0.032334,,,,,,,,,2.1997,,,3.8,,,2003-06-17
,,,,2.9053,,,4.4763,6.398,0.487258,,,0.032145,,,,,,,,,2.1983,,,3.8,,,2003-06-18
,,,,2.8686,,,4.4346,6.3776,0.487258,,,0.032133,,,,,,,,,2.1944,,,3.8,,,2003-06-19
,,,,2.8868,,,4.4543,6.3857,0.487234,,,0.032115,,,,,,,,,2.1959,,,3.8,,,2003-06-20
,,,,2.8531,,,4.3995,6.3171,0.487258,,,0.032072,,,,,,,,,2.1863,,,3.8,,,2003-06-23
,,,,2.8686,,,4.3879,6.3331,0.487258,,,0.032292,,,,,,,,,2.1815,,,3.8,,,2003-06-24
,,,,2.8571,,,4.3687,6.3131,0.487258,,,0.032238,,,,,,,,,2.182,,,3.8,,,2003-06-25
,,,,2.8547,,,4.3783,6.3452,0.487258,,,0.032153,,,,,,,,,2.1834,,,3.8,,,2003-06-26
,,,,2.8161,,,4.3459,6.3171,0.487282,,,0.031856,,,,,,,,,2.1645,,,3.8,,,2003-06-27
,,,,2.8153,,,4.344,6.2814,0.487306,,,0.031753,,,,,,,,,2.1622,,,3.8,,,2003-06-30
,,,,2.8114,,,4.3802,6.2893,0.487282,,,0.031806,,,,,,,,,2.1631,,,3.8,,,2003-07-01
,,,,2.8281,,,4.3917,6.3171,0.487282,,,0.031846,,,,,,,,,2.1612,,,3.8,,,2003-07-02
,,,,2.8233,,,4.3783,6.3251,0.487282,,,0.032129,,,,,,,,,2.1687,,,3.8,,,2003-07-03
,,,,2.8129,,,4.3592,6.3412,0.487306,,,0.032088,,,,,,,,,2.1678,,,3.8,,,2003-07-04
,,,,2.8145,,,4.3573,6.3331,0.487282,,,0.032156,,,,,,,,,2.1725,,,3.8,,,2003-07-07
,,,,2.7663,,,4.2992,6.2657,0.487282,,,0.032156,,,,,,,,,2.165,,,3.8,,,2003-07-08
,,,,2.7747,,,4.2992,6.215,0.487258,,,0.032074,,,,,,,,,2.1636,,,3.8,,,2003-07-09
,,,,2.7902,,,4.3029,6.2035,0.487258,,,0.032243,,,,,,,,,2.1622,,,3.8,,,2003-07-10
,,,,2.7816,,,4.3085,6.2228,0.487234,,,0.032254,,,,,,,,,2.1687,,,3.8,,,2003-07-11
,,,,2.7586,,,4.2827,6.1843,0.487211,,,0.032273,,,,,,,,,2.1659,,,3.8,,,2003-07-14
,,,,2.7624,,,4.2845,6.1275,0.487211,,,0.032275,,,,,,,,,2.1636,,,3.8,,,2003-07-15
,,,,2.7322,,,4.2355,6.0314,0.487211,,,0.032091,,,,,,,,,2.1556,,,3.8,,,2003-07-16
,,,,2.7647,,,4.2608,6.068,0.487211,,,0.032158,,,,,,,,,2.1584,,,3.8,,,2003-07-17
,,,,2.7809,,,4.2662,6.0643,0.487211,,,0.031942,,,,,,,,,2.1552,,,3.8,,,2003-07-18
,,,,2.7933,,,4.2827,6.0024,0.487234,,,0.03211,,,,,,,,,2.1622,,,3.8,,,2003-07-21
,,,,2.8019,,,4.3066,6.068,0.487234,,,0.031958,,,,,,,,,2.1589,,,3.8,,,2003-07-22
,,,,2.7894,,,4.3066,6.0569,0.487211,,,0.031948,,,,,,,,,2.1626,,,3.8,,,2003-07-23
,,,,2.8185,,,4.3592,6.105,0.487211,,,0.031969,,,,,,,,,2.1631,,,3.8,,,2003-07-24
,,,,2.8161,,,4.3554,6.1275,0.487211,,,0.031862,,,,,,,,,2.172,,,3.8,,,2003-07-25
,,,,2.8193,,,4.363,6.1538,0.487234,,,0.031907,,,,,,,,,2.1749,,,3.8,,,2003-07-28
,,,,2.8217,,,4.3649,6.1728,0.487234,,,0.031798,,,,,,,,,2.1687,,,3.8,,,2003-07-29
,,,,2.8114,,,4.3497,6.1728,0.487234,,,0.031689,,,,,,,,,2.1645,,,3.8,,,2003-07-30
,,,,2.7878,,,4.3159,6.1425,0.487234,,,0.031626,,,,,,,,,2.1617,,,3.8,,,2003-07-31
,,,,2.7701,,,4.2662,6.1162,0.487211,,,0.031534,,,,,,,,,2.157,,,3.8,,,2003-08-01
,,,,2.7855,,,4.2827,6.1237,0.487234,,,0.0317,,,,,,,,,2.1603,,,3.8,,,2003-08-04
,,,,2.8177,,,4.3122,6.12,0.487234,,,0.03155,,,,,,,,,2.158,,,3.8,,,2003-08-05
,,,,2.8193,,,4.3271,6.1275,0.487211,,,0.031655,,,,,,,,,2.1538,,,3.8,,,2003-08-06
,,,,2.8082,,,4.3085,6.1162,0.487211,,,0.031628,,,,,,,,,2.1561,,,3.8,,,2003-08-07
,,,,2.8106,,,4.3178,6.1387,0.487211,,,0.031878,,,,,,,,,2.164,,,3.8,,,2003-08-08
,,,,2.7878,,,4.2882,6.0864,0.487211,,,0.031913,,,,,,,,,2.1608,,,3.8,,,2003-08-11
,,,,2.798,,,4.3141,6.105,0.487211,,,0.032015,,,,,,,,,2.1664,,,3.8,,,2003-08-12
,,,,2.7739,,,4.2808,6.0864,0.487211,,,0.032028,,,,,,,,,2.164,,,3.8,,,2003-08-13
,,,,2.784,,,4.3048,6.1087,0.487211,,,0.031846,,,,,,,,,2.1654,,,3.8,,,2003-08-14
,,,,2.7747,,,4.2808,6.0864,0.487234,,,0.031939,,,,,,,,,2.1706,,,3.8,,,2003-08-15
,,,,2.767,,,4.2735,6.068,0.487234,,,0.031875,,,,,,,,,2.1734,,,3.8,,,2003-08-18
,,,,2.7345,,,4.2301,6.035,0.487234,,,0.031846,,,,,,,,,2.1725,,,3.8,,,2003-08-19
,,,,2.7293,,,4.2194,6.0314,0.487234,,,0.032028,,,,,,,,,2.173,,,3.8,,,2003-08-20
,,,,2.7322,,,4.2141,6.0496,0.487282,,,0.032186,,,,,,,,,2.1844,,,3.8,,,2003-08-21
,,,,2.6911,,,4.1528,5.9952,0.487258,,,0.032248,,,,,,,,,2.1844,,,3.8,,,2003-08-22
,,,,2.681,,,4.1322,5.9737,0.487258,,,0.032327,,,,,,,,,2.1791,,,3.8,,,2003-08-25
,,,,2.6731,,,4.1169,5.9559,0.487234,,,0.032394,,,,,,,,,2.1753,,,3.8,,,2003-08-26
,,,,2.6911,,,4.1271,5.9595,0.487234,,,0.032347,,,,,,,,,2.1673,,,3.8,,,2003-08-27
,,,,2.6788,,,4.1254,5.963,0.487234,,,0.032336,,,,,,,,,2.1697,,,3.8,,,2003-08-28
,,,,2.6918,,,4.1391,5.9988,0.487211,,,0.032441,,,,,,,,,2.1645,,,3.8,,,2003-08-29
,,,,2.7034,,,4.158,5.9701,0.487234,,,0.032547,,,,,,,,,2.1659,,,3.8,,,2003-09-02
,,,,2.6724,,,4.095,5.9488,0.487211,,,0.032633,,,,,,,,,2.1645,,,3.8,,,2003-09-03
,,,,2.6817,,,4.1169,5.963,0.487211,,,0.03278,,,,,,,,,2.1645,,,3.8,,,2003-09-04
,,,,2.702,,,4.1563,6.0096,0.487211,,,0.032511,,,,,,,,,2.1584,,,3.8,,,2003-09-05
,,,,2.7427,,,4.2176,6.0423,0.487211,,,0.032391,,,,,,,,,2.1612,,,3.8,,,2003-09-08
,,,,2.7263,,,4.2034,6.0168,0.487211,,,0.032566,,,,,,,,,2.1603,,,3.8,,,2003-09-09
,,,,2.7563,,,4.2644,6.0459,0.487211,,,0.032491,,,,,,,,,2.1626,,,3.8,,,2003-09-10
,,,,2.7427,,,4.2535,6.0459,0.487211,,,0.032447,,,,,,,,,2.1697,,,3.8,,,2003-09-11
,,,,2.7412,,,4.2517,6.0606,0.487211,,,0.032425,,,,,,,,,2.1683,,,3.8,,,2003-09-12
,,,,2.7533,,,4.2827,6.1013,0.487234,,,0.032391,,,,,,,,,2.1687,,,3.8,,,2003-09-15
,,,,2.7533,,,4.2882,6.0976,0.487211,,,0.032389,,,,,,,,,2.1668,,,3.8,,,2003-09-16
,,,,2.73,,,4.2391,6.035,0.487211,,,0.032681,,,,,,,,,2.1734,,,3.8,,,2003-09-17
,,,,2.742,,,4.2735,6.1463,0.487211,,,0.032922,,,,,,,,,2.1734,,,3.8,,,2003-09-19
,,,,2.7925,,,4.3497,6.2578,0.487258,,,0.033797,,,,,,,,,2.1954,,,3.8,,,2003-09-22
,,,,2.8066,,,4.3573,6.2657,0.488663,,,0.033891,,,,,,,,,2.1959,,,3.8,,,2003-09-23
,,,,2.798,,,4.3497,6.2735,0.490436,,,0.033876,,,,,,,,,2.1896,,,3.8,,,2003-09-24
,,,,2.8114,,,4.363,6.2893,0.48974,,,0.034003,,,,,,,,,2.1925,,,3.8,,,2003-09-25
,,,,2.8241,,,4.3611,6.2972,0.489356,,,0.033906,,,,,,,,,2.1925,,,3.8,,,2003-09-26
,,,,2.8225,,,4.3516,6.3012,0.490244,,,0.034058,,,,,,,,,2.1978,,,3.8,,,2003-09-29
,,,,2.8686,,,4.4092,6.3251,0.490412,,,0.03418,,,,,,,,,2.1983,,,3.8,,,2003-09-30
,,,,2.8835,,,4.4366,6.3171,0.490918,,,0.034134,,,,,,,,,2.1983,,,3.8,,,2003-10-01
,,,,2.8893,,,4.4543,6.3412,0.491135,,,0.034251,,,,,,,,,2.1993,,,3.8,,,2003-10-02
,,,,2.8802,,,4.4405,6.3492,0.491739,,,0.034257,,,,,,,,,2.2036,,,3.8,,,2003-10-03
,,,,2.8466,,,4.3995,6.3131,0.492514,,,0.034207,,,,,,,,,2.1978,,,3.8,,,2003-10-06
,,,,2.8785,,,4.4524,6.3613,0.492538,,,0.034205,,,,,,,,,2.2022,,,3.8,,,2003-10-07
,,,,2.8918,,,4.4763,6.3251,0.492732,,,0.034654,,,,,,,,,2.2085,,,3.8,,,2003-10-08
