year,date,change_in_opr,new_opr_level
2004,2004-05-26,0.0,2.7
2004,2004-08-25,0.0,2.7
2004,2004-11-30,0.0,2.7
2005,2005-02-28,0.0,2.7
2005,2005-05-25,0.0,2.7
2005,2005-08-24,0.0,2.7
2005,2005-11-30,0.3,3.0
2005,2005-12-15,0.0,3.0
2006,2006-01-20,0.0,3.0
2006,2006-02-22,0.25,3.25
2006,2006-04-26,0.25,3.5
2006,2006-05-22,0.0,3.5
2006,2006-07-28,0.0,3.5
2006,2006-08-25,0.0,3.5
2006,2006-09-26,0.0,3.5
2006,2006-11-24,0.0,3.5
2007,2007-01-26,0.0,3.5
2007,2007-02-26,0.0,3.5
2007,2007-04-27,0.0,3.5
2007,2007-05-28,0.0,3.5
2007,2007-07-24,0.0,3.5
2007,2007-08-24,0.0,3.5
2007,2007-10-30,0.0,3.5
2007,2007-11-26,0.0,3.5
2008,2008-01-29,0.0,3.5
2008,2008-02-25,0.0,3.5
2008,2008-04-29,0.0,3.5
2008,2008-05-26,0.0,3.5
2008,2008-07-25,0.0,3.5
2008,2008-08-25,0.0,3.5
2008,2008-10-24,0.0,3.5
2008,2008-11-24,-0.25,3.25
2009,2009-01-21,-0.75,2.5
2009,2009-02-24,-0.5,2.0
2009,2009-04-29,0.0,2.0
2009,2009-05-26,0.0,2.0
2009,2009-07-29,0.0,2.0
2009,2009-08-25,0.0,2.0
2009,2009-10-28,0.0,2.0
2009,2009-11-24,0.0,2.0
2010,2010-01-26,0.0,2.0
2010,2010-03-04,0.25,2.25
2010,2010-05-13,0.25,2.5
2010,2010-07-08,0.25,2.75
2010,2010-09-02,0.0,2.75
2010,2010-11-12,0.0,2.75
2011,2011-01-27,0.0,2.75
2011,2011-03-11,0.0,2.75
2011,2011-05-05,0.25,3.0
2011,2011-07-07,0.0,3.0
2011,2011-09-08,0.0,3.0
2011,2011-11-11,0.0,3.0
2012,2012-01-31,0.0,3.0
2012,2012-03-09,0.0,3.0
2012,2012-05-11,0.0,3.0
2012,2012-07-05,0.0,3.0
2012,2012-09-06,0.0,3.0
2012,2012-11-08,0.0,3.0
2013,2013-01-31,0.0,3.0
2013,2013-03-07,0.0,3.0
2013,2013-05-09,0.0,3.0
2013,2013-07-11,0.0,3.0
2013,2013-09-05,0.0,3.0
2013,2013-11-07,0.0,3.0
2014,2014-01-29,0.0,3.0
2014,2014-03-06,0.0,3.0
2014,2014-05-08,0.0,3.0
2014,2014-07-10,0.25,3.25
2014,2014-09-18,0.0,3.25
2014,2014-11-06,0.0,3.25
2015,2015-01-28,0.0,3.25
2015,2015-03-05,0.0,3.25
2015,2015-05-07,0.0,3.25
2015,2015-07-09,0.0,3.25
2015,2015-09-11,0.0,3.25
2015,2015-11-05,0.0,3.25
2016,2016-01-21,0.0,3.25
2016,2016-03-09,0.0,3.25
2016,2016-05-19,0.0,3.25
2016,2016-07-13,-0.25,3.0
2016,2016-09-07,0.0,3.0
2016,2016-11-23,0.0,3.0
2017,2017-01-19,0.0,3.0
2017,2017-03-02,0.0,3.0
2017,2017-05-12,0.0,3.0
2017,2017-07-13,0.0,3.0
2017,2017-09-07,0.0,3.0
2017,2017-11-09,0.0,3.0
2018,2018-01-25,0.25,3.25
2018,2018-03-07,0.0,3.25
2018,2018-05-10,0.0,3.25
2018,2018-07-11,0.0,3.25
2018,2018-09-05,0.0,3.25
2018,2018-11-08,0.0,3.25
2019,2019-01-24,0.0,3.25
2019,2019-03-05,0.0,3.25
2019,2019-05-07,-0.25,3.0
2019,2019-07-09,0.0,3.0
2019,2019-09-12,0.0,3.0
2019,2019-11-05,0.0,3.0
2020,2020-01-22,-0.25,2.75
2020,2020-03-03,-0.25,2.5
2020,2020-05-05,-0.5,2.0
2020,2020-07-07,-0.25,1.75
2020,2020-09-10,0.0,1.75
2020,2020-11-03,0.0,1.75
2021,2021-01-20,0.0,1.75
2021,2021-03-04,0.0,1.75
2021,2021-05-06,0.0,1.75
2021,2021-07-08,0.0,1.75
2021,2021-09-09,0.0,1.75
2021,2021-11-03,0.0,1.75
2022,2022-01-20,0.0,1.75
2022,2022-03-03,0.0,1.75
2022,2022-05-11,0.25,2.0
2022,2022-07-06,0.25,2.25
2022,2022-09-08,0.25,2.5
2022,2022-11-03,0.25,2.75
2023,2023-01-19,0.0,2.75
2023,2023-03-09,0.0,2.75
2023,2023-05-03,0.25,3.0
2023,2023-07-06,0.0,3.0
2023,2023-09-07,0.0,3.0
2023,2023-11-02,0.0,3.0
2024,2024-01-24,0.0,3.0
2024,2024-03-07,0.0,3.0
2024,2024-05-09,0.0,3.0
2024,2024-07-11,0.0,3.0
2024,2024-09-05,0.0,3.0
2024,2024-11-06,0.0,3.0
2025,2025-01-22,0.0,3.0
2025,2025-03-06,0.0,3.0
2025,2025-05-08,0.0,3.0
2025,2025-07-09,-0.25,2.75
2025,2025-09-04,0.0,2.75
2025,2025-11-06,0.0,2.75
2026,2026-01-22,0.0,2.75
2026,2026-03-05,0.0,2.75
2026,2026-05-07,0.0,2.75
