aed,aud,bnd,cad,chf,cny,egp,eur,gbp,hkd,idr,inr,jpy,khr,krw,mmk,npr,nzd,php,pkr,sar,sgd,thb,twd,usd,vnd,xdr,date,rate_type
,,,,2.8233,,,4.2662,6.1162,0.487234,,,0.032016,,,,,,,,,2.1473,,,3.8,,,2003-05-02,buying
,,,,2.8241,,,4.2662,6.1162,0.487234,,,0.032023,,,,,,,,,2.1478,,,3.8,,,2003-05-02,middle
,,,,2.8241,,,4.268,6.1162,0.487234,,,0.03203,,,,,,,,,2.1482,,,3.8,,,2003-05-02,selling
,,,,2.8241,,,4.2626,6.0938,0.487234,,,0.031943,,,,,,,,,2.1505,,,3.8,,,2003-05-05,buying
,,,,2.8241,,,4.2626,6.0938,0.487234,,,0.031945,,,,,,,,,2.151,,,3.8,,,2003-05-05,middle
,,,,2.8249,,,4.2644,6.0976,0.487234,,,0.031946,,,,,,,,,2.151,,,3.8,,,2003-05-05,selling
,,,,2.8297,,,4.2863,6.105,0.487234,,,0.032046,,,,,,,,,2.1668,,,3.8,,,2003-05-06,buying
,,,,2.8297,,,4.2863,6.105,0.487234,,,0.032053,,,,,,,,,2.1668,,,3.8,,,2003-05-06,middle
,,,,2.8305,,,4.2882,6.105,0.487234,,,0.032059,,,,,,,,,2.1673,,,3.8,,,2003-05-06,selling
,,,,2.8645,,,4.3365,6.1312,0.487234,,,0.032294,,,,,,,,,2.1858,,,3.8,,,2003-05-07,buying
,,,,2.8653,,,4.3365,6.1312,0.487234,,,0.032301,,,,,,,,,2.1863,,,3.8,,,2003-05-07,middle
,,,,2.8662,,,4.3384,6.1312,0.487234,,,0.032307,,,,,,,,,2.1867,,,3.8,,,2003-05-07,selling
,,,,2.8703,,,4.3141,6.0643,0.487234,,,0.032584,,,,,,,,,2.1867,,,3.8,,,2003-05-08,buying
,,,,2.8711,,,4.3141,6.068,0.487234,,,0.032591,,,,,,,,,2.1872,,,3.8,,,2003-05-08,middle
,,,,2.8719,,,4.3159,6.068,0.487258,,,0.032598,,,,,,,,,2.1877,,,3.8,,,2003-05-08,selling
,,,,2.9002,,,4.3783,6.0976,0.487282,,,0.032423,,,,,,,,,2.182,,,3.8,,,2003-05-09,selling
,,,,2.9002,,,4.3783,6.0976,0.487234,,,0.032416,,,,,,,,,2.1815,,,3.8,,,2003-05-09,middle
,,,,2.8994,,,4.3764,6.0976,0.487211,,,0.032409,,,,,,,,,2.181,,,3.8,,,2003-05-09,buying
,,,,2.907,,,4.3917,6.0938,0.487234,,,0.032479,,,,,,,,,2.1896,,,3.8,,,2003-05-12,buying
,,,,2.9078,,,4.3917,6.0976,0.487234,,,0.032486,,,,,,,,,2.1901,,,3.8,,,2003-05-12,middle
,,,,2.9078,,,4.3937,6.0976,0.487234,,,0.032493,,,,,,,,,2.1906,,,3.8,,,2003-05-12,selling
,,,,2.8827,,,4.3611,6.105,0.487258,,,0.032351,,,,,,,,,2.1891,,,3.8,,,2003-05-13,buying
,,,,2.8835,,,4.363,6.1087,0.487258,,,0.032358,,,,,,,,,2.1896,,,3.8,,,2003-05-13,middle
